date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:13	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:14%20GMT	https://www.megabox.co.kr/mypage	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage	(from https://www.megabox.co.kr/booking/timetable)
15:34:13	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:14%20GMT	https://www.megabox.co.kr/mypage/point-list	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/point-list	(from https://www.megabox.co.kr/booking/timetable)
15:34:14	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:14%20GMT	https://www.megabox.co.kr/mypage/discount-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/discount-coupon	(from https://www.megabox.co.kr/booking/timetable)
15:34:14	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:15%20GMT	https://www.megabox.co.kr/mypage/movie-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/movie-coupon	(from https://www.megabox.co.kr/booking/timetable)
15:34:14	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:15%20GMT	https://www.megabox.co.kr/mypage/bookinglist	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist	(from https://www.megabox.co.kr/booking/timetable)
15:34:14	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:15%20GMT	https://www.megabox.co.kr/mypage/bookinglist?tab=02	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist9703	(from https://www.megabox.co.kr/booking/timetable)
15:34:15	92395/92395	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2006:34:15%20GMT	https://www.megabox.co.kr/on/oh/ohz/PcntSeatChoi/selectPcntSeatChoi.do?megaboxLanguage=kr	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/on/oh/ohz/PcntSeatChoi/selectPcntSeatChoi4b68.html	(from https://www.megabox.co.kr/booking/timetable)
15:34:15	435074/435074	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2006:34:15%20GMT	https://www.megabox.co.kr/on/oh/ohz/PayBooking/completeSeat.do?megaboxLanguage=kr	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/on/oh/ohz/PayBooking/completeSeat4b68.html	(from https://www.megabox.co.kr/booking/timetable)
15:34:15	33234/33234	---M--	200	added ('OK')	application/x-javascript	etag:%220-81d2-5f0291cb%22	https://www.megabox.co.kr/js/megabox-brch.js	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/js/megabox-brch.js	(from https://www.megabox.co.kr/booking/timetable)
15:34:16	13941/13941	---M--	200	added ('OK')	application/x-javascript	etag:%220-3675-5f0291cb%22	https://www.megabox.co.kr/js/megabox-simpleBokd.js	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/js/megabox-simpleBokd.js	(from https://www.megabox.co.kr/booking/timetable)
15:34:16	45479/45479	---M--	200	added ('OK')	application/x-javascript	etag:%220-b1a7-5f0291cb%22	https://www.megabox.co.kr/static/pc/js/jquery.mCustomScrollbar.concat.min.js	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/pc/js/jquery.mCustomScrollbar.concat.min.js	(from https://www.megabox.co.kr/booking/timetable)
15:34:16	69546/69546	---M--	200	added ('OK')	image/png	etag:%225efae836:10faa%22	https://img.megabox.co.kr/static/pc/images/reserve/img-theater-mx.png	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/static/pc/images/reserve/img-theater-mx.png	(from https://www.megabox.co.kr/booking/timetable)
15:34:16	63972/63972	---M--	200	added ('OK')	image/png	etag:%225efae836:f9e4%22	https://img.megabox.co.kr/static/pc/images/reserve/img-theater-comfort.png	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/static/pc/images/reserve/img-theater-comfort.png	(from https://www.megabox.co.kr/booking/timetable)
15:34:17	83546/83546	---M--	200	added ('OK')	image/png	etag:%225efae836:1465a%22	https://img.megabox.co.kr/static/pc/images/reserve/img-theater-boutique.png	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/static/pc/images/reserve/img-theater-boutique.png	(from https://www.megabox.co.kr/booking/timetable)
15:34:17	51733/51733	---M--	200	added ('OK')	image/png	etag:%225efae836:ca15%22	https://img.megabox.co.kr/static/pc/images/reserve/img-theater-kids.png	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/static/pc/images/reserve/img-theater-kids.png	(from https://www.megabox.co.kr/booking/timetable)
15:34:17	74854/74854	---M--	200	added ('OK')	image/png	etag:%225f0291cb:12466%22	https://img.megabox.co.kr/static/pc/images/reserve/img-theater-balcony.png	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/static/pc/images/reserve/img-theater-balcony.png	(from https://www.megabox.co.kr/booking/timetable)
15:34:17	56695/56695	---M--	200	added ('OK')	image/png	etag:%225efae836:dd77%22	https://img.megabox.co.kr/static/pc/images/reserve/img-theater-firstclub.png	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/static/pc/images/reserve/img-theater-firstclub.png	(from https://www.megabox.co.kr/booking/timetable)
15:34:18	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:18%20GMT	https://www.megabox.co.kr/on/oh/ohg/MbLogin/mbLogout.do	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/on/oh/ohg/MbLogin/mbLogout.do	(from https://www.megabox.co.kr/movie)
15:34:18	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:18%20GMT	https://www.megabox.co.kr/mypage	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage	(from https://www.megabox.co.kr/movie)
15:34:18	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:19%20GMT	https://www.megabox.co.kr/mypage/point-list	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/point-list	(from https://www.megabox.co.kr/movie)
15:34:18	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:19%20GMT	https://www.megabox.co.kr/mypage/discount-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/discount-coupon	(from https://www.megabox.co.kr/movie)
15:34:18	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:19%20GMT	https://www.megabox.co.kr/mypage/movie-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/movie-coupon	(from https://www.megabox.co.kr/movie)
15:34:19	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:19%20GMT	https://www.megabox.co.kr/mypage/bookinglist	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist	(from https://www.megabox.co.kr/movie)
15:34:19	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:19%20GMT	https://www.megabox.co.kr/mypage/bookinglist?tab=02	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist9703	(from https://www.megabox.co.kr/movie)
15:34:19	112081/112081	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2006:34:20%20GMT	https://www.megabox.co.kr/movie/comingsoon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/movie/comingsoon.html	(from https://www.megabox.co.kr/movie)
15:34:19	112093/112093	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2006:34:20%20GMT	https://www.megabox.co.kr/movie/film	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/movie/film.html	(from https://www.megabox.co.kr/movie)
15:34:20	112105/112105	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2006:34:20%20GMT	https://www.megabox.co.kr/movie/classic	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/movie/classic.html	(from https://www.megabox.co.kr/movie)
15:34:20	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:20%20GMT	https://www.megabox.co.kr/mypage/additionalinfo	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/additionalinfo	(from https://www.megabox.co.kr/movie)
15:34:20	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:21%20GMT	https://www.megabox.co.kr/on/oh/ohg/MbLogin/mbLogout.do	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/on/oh/ohg/MbLogin/mbLogout.do	(from https://www.megabox.co.kr/curation/specialcontent)
15:34:20	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:21%20GMT	https://www.megabox.co.kr/mypage	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage	(from https://www.megabox.co.kr/curation/specialcontent)
15:34:21	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:21%20GMT	https://www.megabox.co.kr/mypage/point-list	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/point-list	(from https://www.megabox.co.kr/curation/specialcontent)
15:34:21	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:22%20GMT	https://www.megabox.co.kr/mypage/discount-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/discount-coupon	(from https://www.megabox.co.kr/curation/specialcontent)
15:34:21	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:22%20GMT	https://www.megabox.co.kr/mypage/movie-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/movie-coupon	(from https://www.megabox.co.kr/curation/specialcontent)
15:34:21	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:22%20GMT	https://www.megabox.co.kr/mypage/bookinglist	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist	(from https://www.megabox.co.kr/curation/specialcontent)
15:34:22	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:22%20GMT	https://www.megabox.co.kr/mypage/bookinglist?tab=02	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist9703	(from https://www.megabox.co.kr/curation/specialcontent)
15:34:22	4839/4839	---M--	200	added ('OK')	image/png	etag:%220-12e7-5f0291cb%22	https://www.megabox.co.kr/static/pc/images/movie/mem-sp-img01.png	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/pc/images/movie/mem-sp-img01.png	(from https://www.megabox.co.kr/curation/specialcontent)
